,0
526,10.5
527,3.7
528,15.1
529,23.8
530,27.7
531,144.8
532,239.8
533,64.3
534,256.9
535,319.0
536,96.3
537,36.2
538,10.6
539,16.2
540,-2.7
541,-0.8
542,4.4
543,13.3
544,16.7
545,21.4
546,24.9
547,27.0
548,22.6
549,15.4
550,9.0
551,-1.6
552,1.8
553,4.0
554,9.7
555,19.3
556,22.2
557,26.7
558,28.8
559,31.9
560,27.1
561,20.6
562,13.8
563,2.8
564,17.4
565,6.4
566,64.2
567,103.0
568,83.7
569,50.5
570,384.5
571,96.2
572,181.3
573,21.0
574,36.3
575,22.9
576,-3.8
577,2.8
578,4.8
579,11.3
580,16.7
581,21.3
582,23.1
583,23.7
584,19.9
585,13.7
586,3.5
587,0.4
588,0.7
589,7.1
590,10.1
591,17.0
592,22.7
593,26.9
594,27.7
595,27.6
596,25.3
597,19.0
598,8.0
599,4.6
600,4.0
601,108.3
602,6.8
603,58.4
604,41.5
605,49.2
606,176.7
607,462.3
608,78.7
609,60.7
610,30.7
611,32.2
612,-6.7
613,-2.4
614,5.4
615,12.5
616,17.4
617,22.5
618,26.0
619,24.6
620,21.5
621,16.7
622,7.6
623,2.4
624,-2.5
625,2.6
626,11.1
627,18.2
628,23.0
629,27.9
630,30.1
631,29.3
632,26.7
633,22.7
634,11.8
635,6.3
636,2.2
637,0.2
638,36.5
639,228.8
640,63.7
641,46.4
642,405.4
643,101.0
644,96.2
645,15.7
646,96.0
647,55.4
648,-2.4
649,-2.5
650,4.2
651,11.5
652,18.5
653,21.9
654,26.4
655,25.8
656,20.9
657,14.5
658,7.9
659,1.6
660,1.7
661,2.0
662,9.2
663,17.2
664,25.1
665,26.9
666,30.1
667,29.8
668,25.8
669,20.1
670,12.7
671,5.6
672,11.6
673,13.6
674,52.2
675,13.0
676,25.4
677,374.7
678,242.2
679,270.7
680,80.9
681,40.0
682,7.5
683,29.1
684,0.9
685,0.6
686,6.0
687,11.2
688,16.5
689,21.4
690,24.3
691,25.4
692,20.1
693,15.9
694,5.7
695,1.4
696,5.1
697,5.0
698,11.3
699,16.2
700,22.2
701,25.4
702,28.5
703,29.5
704,25.0
705,21.9
706,10.5
707,5.3
708,19.6
709,32.6
710,60.3
711,138.6
712,116.0
713,354.4
714,204.3
715,237.8
716,46.8
717,3.5
718,30.0
719,35.5
720,-3.7
